cid	text	author	votes	heart	paid	category	Entext	flair_sent_fast	flair_sent_en	pysent_sent	pysent_emot	pysent_hate	offense
UgzriqaeMotw_vMocyJ4AaABAg	മീൻ കുളത്തിൽ മീൻ പിടിക്കുന്നത് വലിയ ത്രിൽ ഇല്ലമീൻ പുഴയിൽ നിന്ന് പിടിക്കുന്നത് കാണാൻ ൻ്റ കൂടെ വാ	R P	79	True	None	Pets_and_Animals	Come with me to see the great thrill of fishing in the fish pond and catch the fish from the river.	('POSITIVE', 0.9837320446968079)	('POSITIVE', 0.9951356053352356)	POS: 	joy: 	:	0
Ugx7KReObtUAf3Est6t4AaABAg	രാവിലെ തന്നെ മനസിന് കുളിർമയേകുന്ന കാഴ്ച ഗപ്പി 	Prince Davis	8	True	None	Pets_and_Animals	Guppy is a refreshing sight in the morning	('POSITIVE', 0.9966257810592651)	('POSITIVE', 0.9986670017242432)	POS: 	joy: 	:	0
UgwrLszpRumvaekEaut4AaABAg	മീൻ വളർത്തൽ ഒരു വികാരം ആണ് 	Abdul Rauf	38	True	None	Pets_and_Animals	Fish farming is a passion	('POSITIVE', 0.9921467900276184)	('POSITIVE', 0.9975249171257019)	POS: 	others: 	:	0
UgwiRbu2JUcOR4ohTp14AaABAg	കൂട് സെറ്റപ്പാണ് നല്ല വളർച്ചയുണ്ടാവട്ടെ 	MSadique	0	True	None	Pets_and_Animals	Nest setup is good for growth	('POSITIVE', 0.9531571269035339)	('POSITIVE', 0.9764095544815063)	POS: 	joy: 	:	0
Ugx69JtmoJ3X9bJHz3F4AaABAg	ഫ്രണ്ട്സ് എല്ലാരും കൂടി മീൻ പിടിക്കാൻ പോകുന്നത് ഒരു ഹരം ആണ് 	Minnal⚡️ YT Shorts	30	True	None	Pets_and_Animals	It is a harem for all friends to go fishing together	('POSITIVE', 0.8101159930229187)	('POSITIVE', 0.998083233833313)	NEU: 	others: 	:	0
Ugw5tEzPDH0KhmEZnXB4AaABAg	അത് മഴയായത് കൊണ്ടാണ് സമദ്ക്കാ അതു മഴ കുറഞ്ഞാൽ ശരിയാവും 	Muhammed Favas	2	False	None	Pets_and_Animals	Samadka is because it is raining and it will be fine if it stops raining	('NEGATIVE', 0.8346375226974487)	('NEGATIVE', 0.5742636322975159)	NEU:  	fear:  	:	0
UgzZ6hBMFnyXm8ES4xx4AaABAg	ആദരാഞ്ജലികൾ	salu mon	39	True	None	Pets_and_Animals	Regards	('POSITIVE', 0.9366172552108765)	('POSITIVE', 0.990644097328186)	NEU: 	others: 	:	0
UgwkkrJqzPFUrBlq7V94AaABAg	ഗപ്പി ഇഷ്ടം	༒നൂബുകളുടെ രാജാവ്༒	31	False	None	Pets_and_Animals	Love Guppy	('POSITIVE', 0.9738253951072693)	('POSITIVE', 0.994851291179657)	POS: 	joy: 	:	0
UgwazdecuxCpBpymXMl4AaABAg	അവധിക്കാലത്താണ് നമ്മുടെ ഉള്ളിലെ മീൻ സ്നേഹം കുരുപൊട്ടി വരുന്നത്	꧁രമണൻ ༒മോതലാളി꧂	261	False	None	Pets_and_Animals	It's during the holidays that our inner pisces love blossoms	('POSITIVE', 0.998242974281311)	('POSITIVE', 0.9988112449645996)	POS: 	others: 	:	0
UgyWBkgdCFyN80aNofB4AaABAg	നാളെ വിഷു ആഘോഷിക്കാൻ പോകുന്ന എല്ലാ മലയാളികൾക്കും   വിഷു ആശംസകൾ 	sreeraj	76	False	None	Pets_and_Animals	Happy Vishu to all the Malayalees who are going to celebrate Vishu tomorrow	('POSITIVE', 0.9965333938598633)	('POSITIVE', 0.9952860474586487)	POS: 	joy: 	:	0
UgwIY2fpKmQrQWbFKnZ4AaABAg	മച്ചാന്മാരുടെ ബുദ്ധി ഉപയോഗിച്ച് ഈ സംരംഭം ഉയർന്ന അളവിൽ വളരട്ടെ	꧁രമണൻ ༒മോതലാളി꧂	46	True	None	Pets_and_Animals	Let this enterprise grow to great heights with the wisdom of the magnates	('POSITIVE', 0.9989380240440369)	('POSITIVE', 0.9918875098228455)	POS: 	joy: 	:	0
Ugxw4jm4raK-Q3ZNoE14AaABAg	എന്റെ നാട്ടുകാരൻ  സമദ്  ബായ്  അടിപൊളി	Thousi Tirur	24	False	None	Pets_and_Animals	My countryman Samad Bai is cool	('POSITIVE', 0.996060311794281)	('POSITIVE', 0.9954327344894409)	POS: 	others:  	:	0
UgyKiNMuZamGBmXYP2B4AaABAg	ഗപ്പികളെ കുറിച്ചുള്ള അറിവ് മാത്രം അല്ല മനസിന് ഒരു സന്തോഷം അതാണ് ഇക്കേടെ ഈ ചാനൽ 	Abhi Sfc	3	False	None	Pets_and_Animals	This channel is not just about guppies, it is a joy for the mind	('POSITIVE', 0.9097749590873718)	('POSITIVE', 0.9969390630722046)	POS: 	joy: 	:	0
UgykGeaJ9BwlYBzbAFx4AaABAg	എത്ര ഒക്കെ കേട്ടാലും ഇങ്ങേരുടെ  അൽഹംദുലില്ലാഹ് തെറ്റില്ലാത്ത രീതിയിൽ എന്നു പറയുന്നത് കേൾക്കാൻ ഒരു പ്രതേക രസമാണ്	SIRIUS BLACK 666	53	False	None	Pets_and_Animals	No matter how many times you listen to them, it is a joy to hear them say Alhamdulillah without mistake.	('POSITIVE', 0.9815014004707336)	('POSITIVE', 0.9971355199813843)	POS: 	joy: 	:	0
UgzFjKnMxS0k11UwoaR4AaABAg	അത് കൊള്ളാം 	UPA CHANNEL	13	False	None	Pets_and_Animals	that's great	('POSITIVE', 0.9949192404747009)	('POSITIVE', 0.9964995384216309)	POS: 	joy: 	:	0
UgzRukMd0lgfBQE8BCF4AaABAg	ഗപ്പിയെ കുപ്പിയിൽ  ഇട്ട് വളർത്തിവർ എങ്കെ       ഗപ്പി 	Dark Boy Gaming	114	False	None	Pets_and_Animals	Guppy is a guppy if it is raised in a bottle	('NEGATIVE', 0.7841384410858154)	('NEGATIVE', 0.9909600019454956)	NEG: 	others: 	:	0
UgxGlX6BvWG4ebeBEnJ4AaABAg	ഗപ്പി ഇഷ്ടം	MRM**	24	True	None	Pets_and_Animals	Love Guppy	('POSITIVE', 0.9738253951072693)	('POSITIVE', 0.994851291179657)	POS: 	joy: 	:	0
UgzLKVUdZRWxPv2VWLd4AaABAg	മീൻ വളർത്തുബോൾ തന്നെ മനസ്സിന് ഒരു സന്തോഷം കിട്ടാറുണ്ട്	MUHAMMED SAVAD VILAYUR	38	False	None	Pets_and_Animals	There is a joy in the mind when raising fish	('POSITIVE', 0.9781851768493652)	('POSITIVE', 0.9985373020172119)	POS: 	joy: 	:	0
UgywIt-U5OKrM5FdaG94AaABAg	മീന് അല്ലെങ്കില് നെല്ല് നെല്ല് അല്ലെങ്കില് ഗപ്പി  അടിപൊളി സൂപ്പര്	GRASS YELLOW	0	False	None	Pets_and_Animals	Fish or rice rice or guppy cool super	('POSITIVE', 0.8749105334281921)	('POSITIVE', 0.9963656663894653)	POS: 	others: 	:	0
UgwVJQtIAaY3JLET1Vd4AaABAg	ഫൈറ്റർ കുഞ്ഞുങ്ങൾക്ക് വെള്ളം കണ്ടീഷൻ നിര്ബന്ധമാണ് വെള്ളം ഒരിക്കലും മോശമാകരുത് വിരിഞ്ഞ നാലാം ദിവസം മുതൽ ഇൻഫ്യൂസോറിയ ഒരുമാസം വരെ അർടീമിയ പിന്നെ മൊയ്ന എന്ന തരത്തിൽ ഫീഡ് കൊടുക്കാം അർടീമിയ കൊടുത്താൽ മറ്റു ഫീഡുകളേക്കാൾ വേഗത്തിൽ വളർച്ച കിട്ടും	Muhammed Subair	1	True	None	Pets_and_Animals	Water condition is a must for fighter chicks. Water should never be bad. From the fourth day of hatching, infusoria can be fed for up to one month.	('POSITIVE', 0.9480701088905334)	('POSITIVE', 0.9682018160820007)	NEU: 	others: 	:	0
UgyMG2Nj4E5HyOVWHJ54AaABAg	ഗപ്പി ഉയിർ മോളി 	arun rio	16	True	None	Pets_and_Animals	Guppy uir Molly	('NEGATIVE', 0.5022042393684387)	('NEGATIVE', 0.8089994788169861)	NEU: 	others: 	:	0
UgxVhAyg68oBBpKiDCB4AaABAg	ഇത്തരത്തിൽ ഒരു ടാങ്കിൽ ഉപയോഗിച്ച സാധനങ്ങൾ മറ്റു ടാങ്കുകളിൽ ഉപയോഗിച്ചാൽ ഫഗ്ഗൽ ഇൻഫെക്ഷൻ എല്ലാത്തിലേക്കും സ്പ്രെഡ് ആവും	Abhijith P G	0	False	None	Pets_and_Animals	In this way, if items used in one tank are used in other tanks, the fungal infection will spread to all of them	('NEGATIVE', 0.6201565861701965)	('NEGATIVE', 0.9999281167984009)	NEG: 	fear: 	:	0
Ugz_D2mHfx7nyOUhzyN4AaABAg	ഒരു സങ്കടം ഉണ്ടായാൽ  അതിനപ്പുറം  ഒരു സന്തോഷമുണ്ട്	Fish Hubers	12	False	None	Pets_and_Animals	If there is a sadness, there is a joy beyond it	('POSITIVE', 0.9881121516227722)	('POSITIVE', 0.9866724014282227)	NEU: 	others: 	:	0
Ugzl5gXXn6xpEUH9k8l4AaABAg	ഭായ് നിങ്ങൾ പൊളിയാണ്എല്ലാം കറക്റ്റ് അപ്ഡേഷൻ	Shameej Shemi	13	True	None	Pets_and_Animals	Bhai you are cool everything is correct update	('POSITIVE', 0.8879914283752441)	('POSITIVE', 0.938687801361084)	POS: 	others: 	:	0
Ugy20FskXvo66dP584h4AaABAg	അബ്ദുൽ സമദ് കുറ്റൂരെ ഇത് തീക്കളിയാണ് സബ്സ്ക്രൈബർസ് വയ്ലെന്റ് ആകാൻ ഇത് തന്നെ ധാരാളം താങ്കൾ പറഞ്ഞത് പോലെ ഒന്നും പറയാനില്ല ഒരു രക്ഷയുമില്ല മത്സ്യ കർഷകരോട് കാണിക്കുന്ന ഈ സപ്പോർട്ട് വളരെയധികം അഭിനന്ദനങ്ങൾ അർഹിക്കുന്നു	Sidhique M A	14	True	None	Pets_and_Animals	Abdul Samad Kuttoor This is a fire game Subscribers are too much to be valiant as you said nothing to say no escape this support to fish farmers is highly appreciated	('POSITIVE', 0.981613278388977)	('POSITIVE', 0.9809319376945496)	NEU: 	others: 	:	0
UgzPSiyybNqbmP0YFjB4AaABAg	സൂപ്പറാണ് 	Rahees Mc	1	True	None	Pets_and_Animals	It's super	('POSITIVE', 0.9445013999938965)	('POSITIVE', 0.996629536151886)	POS: 	others: 	:	0
UgxZvRBrwVuvZqZ8Y754AaABAg	സമദ് നല്ല വീഡിയോ നല്ല സുഹൃത്തുക്കളുടെ കൂട്ടായ്മദാസേട്ടനും സിദ്ദിഖ് ഇക്കക്കും ആശംസകൾ നേരുന്നു	Sunil VT	17	True	None	Pets_and_Animals	Samad nice video good friends kotaimadasetan and siddiq wish you all the best	('POSITIVE', 0.971764326095581)	('POSITIVE', 0.99730384349823)	POS: 	joy: 	:	0
UgxzdXpScKr2L8PzA1V4AaABAg	കൊക്കാച്ചിയിലെ രാജാവ് ചെക്കിങ് നു എത്തിയല്ലോ 	Sabitha Mc	0	False	None	Pets_and_Animals	The King of Kokachi has arrived for checking	('POSITIVE', 0.790034830570221)	('POSITIVE', 0.671185314655304)	NEU: 	joy:  	:	0
UgxX8_hmOIaFAZBQdGh4AaABAg	ഈശ്വരാ ആ പൂച്ച വേഗം സുഖമായി വരട്ടെ 	Lost Angeles	72	True	None	Pets_and_Animals	May that cat get well soon	('POSITIVE', 0.687372088432312)	('POSITIVE', 0.9970892071723938)	POS: 	others:  	:	0
Ugwjh7BPQpmUj7Npnn14AaABAg	ഇക്രു നീല കണ്ണുള്ളരാജകുമാര നീ ഇങ്ങനെ കുസൃതി കാട്ടി ഓടിനടക്കുന്നത് കാണാൻ ഞങ്ങൾ ഒത്തിരി കൊതിച്ചിരുന്നു ഒരുപാട് സന്തോഷംതോന്നുന്നു 	Nayana Neeraja	400	False	None	Pets_and_Animals	Ikru blue-eyed princess, we have been longing to see you running around like this, and we feel very happy.	('POSITIVE', 0.9971990585327148)	('POSITIVE', 0.9991187453269958)	POS: 	joy: 	:	0
UgweUWxSNOCfxdhTlHx4AaABAg	നിങ്ങളുടെ ഇൗ നല്ല മനസ്സിൻ വലിയ ഒരു കയ്യടി	MUHAMMED ARFATH	81	False	None	Pets_and_Animals	A big applause for your kindness	('POSITIVE', 0.9911757707595825)	('POSITIVE', 0.9825029373168945)	POS: 	others:  	:	0
Ugy_9G6cP8dJm5LdW494AaABAg	സത്യം തുപ്രുവിനെ കാണുമ്പോൾ അറിയാതെ ഒരു ചിരി എന്റെ മുഖത്തു വരും തുപ്രുവിന് ഒരു ചക്കര ഉമ്മ 	Lachu diaries	232	True	None	Pets_and_Animals	When I see Satyam Tupru, a smile comes to my face without realizing it	('POSITIVE', 0.9932410717010498)	('POSITIVE', 0.9995269775390625)	POS: 	joy: 	:	0
UgzD_yf4vQ9LSPHFXF94AaABAg	നമ്മുടെ പൂച്ച അടിപൊളി അല്ലേ	_JERIN WELD_	72	True	None	Pets_and_Animals	Isn't our cat cool?	('NEGATIVE', 0.9339990615844727)	('NEGATIVE', 0.9903427362442017)	POS: 	others: 	:	0
UgzuPwfsAIlpIanDtEZ4AaABAg	ഭാഗ്യം അതിന് വേഗം സുഖം ആയല്ലോ	Vidyalekshmi V	62	True	None	Pets_and_Animals	Luckily it got better quickly	('NEGATIVE', 0.8169878125190735)	('POSITIVE', 0.9540138244628906)	POS: 	sadness: 	:	0
UgydO6NZVTwVlaeAlDd4AaABAg	മ്മളെ കൊച്ചാപ്പിടെ ബെൽറ്റ് കഴുത്തില് ടൈറ്റ് ആയിക്കല്ലോലൂസ് ആക്കി കൊടുക്ക്	Arshida Tm	46	False	None	Pets_and_Animals	Make the belt tight around our necks and make it loose	('NEGATIVE', 0.9105035662651062)	('NEGATIVE', 0.9996758699417114)	NEU: 	others: 	:	0
UgzYkfWBDpElWcchJKx4AaABAg	അതിനെ കുഴിച്ചിടാനുള്ള മനസ്സ് കാണിച്ചല്ലോ	༒തഗ് ; സുഗണൻ -ᴀᴋᴄᴛᴀ༒	119	True	None	Pets_and_Animals	He showed the mind to bury it	('NEGATIVE', 0.7839989066123962)	('NEGATIVE', 0.9923553466796875)	NEU: 	others: 	:	0
Ugw89CVDQ0t9c4spLf54AaABAg	കുഞ്ഞപ്പിയെ തോൽപ്പിക്കാൻ കുഞ്ഞാപ്പി അല്ലാതെ മറ്റാരുമില്ലകുഞ്ഞാപ്പി ഫാൻസ് ഉണ്ടോ	BGMI LOVER	316	True	None	Pets_and_Animals	There is no one but Kunjappi to defeat Kunjappi, are there any Kunjappi fans	('NEGATIVE', 0.7027034163475037)	('POSITIVE', 0.9617447257041931)	NEU: 	others: 	:	0
Ugywmpz7XxzBkL7OzQJ4AaABAg	തക്കുടുവിന്റെ കണ്ണ് കാണാൻ എന്തു ഭംഗിയാണ് അല്ലേ 	LINU''z WORLD	72	False	None	Pets_and_Animals	Takkudu's eyes are so beautiful to see	('POSITIVE', 0.9981740713119507)	('POSITIVE', 0.9969369173049927)	POS: 	joy: 	:	0
UgzaGO05g8hce3Rj2xt4AaABAg	കൊച്ചാപ്പിയുടെയും കുഞ്ഞാപ്പിയുടെയും ഫാൻസ് ഉണ്ടോ  രണ്ട് പേരും കുറുമ്പൻ ആണ് 	Vijay official page malayalam	372	False	None	Pets_and_Animals	Are there fans of Kochappi and Kunjappi, both of them are Kurumban	('POSITIVE', 0.7530377507209778)	('POSITIVE', 0.9993126392364502)	NEU: 	others: 	:	0
UgxEEibmw0eEVzP-58V4AaABAg	കുറുമ്പൻ വയ്യെങ്കിലും ഓടിച്ചാടി നടക്കുവാ കൊച്ചാപ്പി 	Gopika R	170	False	None	Pets_and_Animals	Kochappi, even if he is a little bit fat, he will run and walk	('POSITIVE', 0.5895982384681702)	('POSITIVE', 0.9224305152893066)	NEU: 	others: 	:	1
Ugz0SYnkRkMZ3UkxRl94AaABAg	കുഞ്ഞാപ്പി യുടെ ഇപ്പോഴത്തെ ആരോഗ്യ നില 	Kokkachi	77	False	None	Pets_and_Animals	Current health status of baby	('POSITIVE', 0.8620597720146179)	('POSITIVE', 0.9532012939453125)	NEU: 	others: 	:	0
Ugzscs8YGrDXPhFwbwN4AaABAg	ആരൊക്കെ വന്നാലും എനിക്ക് കുഞ്ഞാപ്പിയെ ആണ് ഇഷ്ട്ടം 	Tittus World	96	False	None	Pets_and_Animals	Whoever comes, I love Kunjappi	('POSITIVE', 0.9958551526069641)	('POSITIVE', 0.9990848302841187)	POS: 	joy: 	:	0
UgzCL0VW_7R_bNfwXAZ4AaABAg	കുഞ്ഞാപ്പി ഫാൻസ് ഇവിടെ ലൈക് അടിക്കു 	amna fathima	80	False	None	Pets_and_Animals	Kunjappi fans click like here	('POSITIVE', 0.9418349862098694)	('POSITIVE', 0.9630609750747681)	NEU: 	others: 	:	0
Ugx_BWPUJGvSbnzxHYZ4AaABAg	ചേട്ടാ നിങ്ങൾ രണ്ടെണ്ണം  തരാവോ ഗപ്പി മീന്	Sunila Rajesh	3	True	None	Pets_and_Animals	Dude, will you give me two, guppy fish?	('NEGATIVE', 0.5678266882896423)	('POSITIVE', 0.9951303005218506)	NEU: 	others: 	:	0
Ugz-qk2ywriq9UIqp8x4AaABAg.9cAONlezH_T9cDJU_4CgXk	കടയില്	Njen Nelleben	1	False	None	Pets_and_Animals	in the shop	('POSITIVE', 0.7409396767616272)	('POSITIVE', 0.7666310667991638)	NEU: 	others: 	:	0
UgwddQImuQVzNXHT7Et4AaABAg	എന്റെ കയ്യിലും ഉണ്ട് അത് ഒച്ചല്ല നൗനി ആണ്	Vinod up Vinod	24	False	None	Pets_and_Animals	I also have it in my hand and it is Ochalla Nauni	('POSITIVE', 0.6275148987770081)	('POSITIVE', 0.9934413433074951)	NEU: 	others: 	:	0
Ugwxw95WQjzmqD0DEhx4AaABAg	പോളി ഗിരീഷേട്ടൻ 	guppy lovers	8	True	None	Pets_and_Animals	Polly Girishetan	('POSITIVE', 0.8296772837638855)	('NEGATIVE', 0.996798574924469)	NEU: 	others: 	:	0
UgztRzsa58RYbolHBuB4AaABAg	പാവം ശ്രീബ് 	Praseetha V	4	True	None	Pets_and_Animals	Poor Mr	('NEGATIVE', 0.9976345300674438)	('NEGATIVE', 0.9992942810058594)	NEG: 	sadness: 	:	0
UgxKttnGb1JyfxFRhSd4AaABAg	ഗിരീഷേട്ടൻ ഇനിയും ഒരുപാട് സ്ഥലങ്ങൾ സന്തർഷിക്കട്ടെ 	JESSY SEBASTIAN	24	True	None	Pets_and_Animals	May Girishetan visit many more places	('NEGATIVE', 0.5771468877792358)	('POSITIVE', 0.924836277961731)	NEU: 	others: 	:	0
UgyxYE5rjpJ9xABZ4hl4AaABAg	ഗിരീഷേട്ടൻ    ഞാൻ   ഗപ്പി  വളർത്തൽ   പുന രാമബിച്ചുഈ   വീഡിയോ  ഉപകാരപ്പെട്ടുഗിരീഷേട്ടനെ   പോലെ  ഇത്ര  വിശദീകരിക്കുന്ന    നല്ല   ഒരു  യൂട്യൂബർ  ആണ്	dinay	11	False	None	Pets_and_Animals	Girishetan I have restarted Guppy rearing this video is very helpful as Girishetan is a good youtuber who explains so much	('POSITIVE', 0.9860105514526367)	('POSITIVE', 0.9533076882362366)	POS: 	others:  	:	0
Ugx1JTjIUykvdTQcCgx4AaABAg	ഇത് വരെ കാണാത്ത തരം ഗപ്പികളെ കാണാൻ പറ്റിനീ വേറെ ലെവൽ ആവും മുത്തേഎല്ലാവിധ ആശംസകളും നേരുന്നു	Prabi_n Das	188	False	None	Pets_and_Animals	I wish you all the best to meet guppies that you have never seen before and take it to another level	('POSITIVE', 0.6881589293479919)	('POSITIVE', 0.997077226638794)	POS: 	joy: 	:	0
UgziRVB94HBg9gqIA9N4AaABAg	എത്ര മൊയിന ഉണ്ടായിലും ഗപ്പികൾക്ക് മതി ആകില്ല അവരുടെ ഇഷ്ടഭക്ഷണം	LIVING AQUATIC	39	True	None	Pets_and_Animals	Guppies can't get enough of their favorite food no matter how many moina they have	('NEGATIVE', 0.8050259351730347)	('POSITIVE', 0.9997844099998474)	POS:  	others:  	:	0
Ugx4A7vL1IgSemE7qFx4AaABAg	ഉമ്മൻ ചാണ്ടിയെ പോലെ തൊന്നിയവർ ഉണ്ടോ	Aswin Krishna	46	True	None	Pets_and_Animals	Is there anyone who has done as well as Oommen Chandy?	('NEGATIVE', 0.8576692938804626)	('POSITIVE', 0.9944308400154114)	NEU:  	others: 	:	0
UgwRG_Vm-A6YysHdG5p4AaABAg	പുതിയ ഗപ്പികൾ മനോഹരം 	ROSE AQUA	7	True	None	Pets_and_Animals	The new guppies are beautiful	('POSITIVE', 0.9979661703109741)	('POSITIVE', 0.9991176724433899)	POS: 	joy: 	:	0
UgzIVYEbUXJ29lwj8zt4AaABAg	ചെക്കന്മാർ പൊളി	Rasheed PP	9	True	None	Pets_and_Animals	Checks are broken	('NEGATIVE', 0.9820013642311096)	('NEGATIVE', 0.9897527694702148)	NEG: 	others: 	:	0
UgzRltkCwxUHSeR3PUp4AaABAg	ഈ ഫാമിന്  നമ്മുടെ  പോലെ  ശീല താർപ്പായ  ഒന്നും  പോരലോ  ലോകർ  വേണ്ടിവരും 	Nivin Joseph	77	True	None	Pets_and_Animals	This farm will need a little bit of lokar like us	('POSITIVE', 0.5191032290458679)	('POSITIVE', 0.9116517305374146)	NEU: 	others: 	:	0
UgygORr8VOVPbVeTo214AaABAg	ഗപ്പി അന്നും ഇന്നും എന്നും ഒരു വികാരമാണ്                      ഗുപ്പി ഇഷ്ടം 	_NO _name_	18	True	None	Pets_and_Animals	Guppy love is and still is a feeling	('POSITIVE', 0.996658444404602)	('POSITIVE', 0.9985743761062622)	NEU: 	others: 	:	0
Ugx2xRQHSLg8FzbQxFR4AaABAg	ഒടുക്കത്തെ വില ആണല്ലോ 	dream	163	True	None	Pets_and_Animals	It is the final price	('POSITIVE', 0.8190463781356812)	('POSITIVE', 0.9606091976165771)	NEU: 	others: 	:	0
Ugy9gWHaVT_mLxPofst4AaABAg	ചേട്ടാ  അടി  പൊളി  വിഡിയോ  ഇനിയും  ഇത്  പോലെ  ഉപകാരമുള്ള  വിഡിയോകൾ  ചെയ്യണം  കട്ട  സപ്പോർട്ട്	محمد جابر	291	True	None	Pets_and_Animals	Dude, cool video, please make more useful videos like this, Katta support	('POSITIVE', 0.911842405796051)	('POSITIVE', 0.9246875047683716)	POS: 	joy:  	:	0
UgwHqJdhWEZIGOT-s5h4AaABAg	ഗപ്പി വളർത്തുന്നവർ അടി ലൈക് 	Salim S	11	True	None	Pets_and_Animals	Guppy breeders ft like	('POSITIVE', 0.7832419276237488)	('NEGATIVE', 0.9964430928230286)	NEG: 	others: 	:	0
UgwWGpw1lEanVE090P14AaABAg	ലക്ഷമിപ്രിയ സ്റോങ്ങ് മത്സരാർത്ഥിയാണ് അങ്ങനെ ആവണം സ്ത്രീകൾ 	Rejani Rejani	5	False	None	Pets_and_Animals	Lakshmipriya is a strong competitor and that's how women should be	('POSITIVE', 0.9983886480331421)	('POSITIVE', 0.9565520882606506)	POS: 	others: 	hateful : 	0
